,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17
node_1,0,11.86719675,7.790807894,19.68879488,8.045924829,9.377308829,10.07372582,5.553063747,11.38722544,7.987283362,8.264042572,10.22377203,5.744109179,9.228366006,3.566599852,27.8479925,27.8479925
node_2,11.86719675,0,12.80047652,14.21982961,14.80926931,21.16396489,21.31663797,17.41247341,4.853648935,18.94738547,18.62693973,21.04781066,16.54424459,20.97395684,15.42901001,22.4085489,22.4085489
node_3,7.790807894,12.80047652,0,13.77266395,2.202754872,14.24461123,16.17069084,10.18304035,15.09746008,8.626998523,15.39859598,16.79680559,12.91079629,14.30807425,9.028152789,21.20734065,21.20734065
node_4,19.68879488,14.21982961,13.77266395,0,15.55903337,27.8492157,29.42645295,23.68139169,19.01903228,22.35155496,27.95271994,29.80478565,25.42749221,27.86586894,22.18829747,8.460662055,8.460662055
node_5,8.045924829,14.80926931,2.202754872,15.55903337,0,12.97078595,15.18255067,9.134480364,16.75522887,6.826000257,14.85490762,15.96259868,12.47405418,13.08757414,8.363773106,22.63074434,22.63074434
node_6,9.377308829,21.16396489,14.24461123,27.8492157,12.97078595,0,3.028825852,4.195194721,19.86430212,6.840297936,5.453278466,4.388673065,5.514981884,0.410627543,5.96616989,35.45062516,35.45062516
node_7,10.07372582,21.31663797,16.17069084,29.42645295,15.18255067,3.028825852,0,6.048907061,19.34030523,9.599560999,3.361020274,1.417159109,4.785173784,2.668939365,7.247698774,37.2925648,37.2925648
node_8,5.553063747,17.41247341,10.18304035,23.68139169,9.134480364,4.195194721,6.048907061,0,16.70675645,4.386629305,6.241121953,6.87654144,4.468908819,4.185677673,1.986592562,31.37372284,31.37372284
node_9,11.38722544,4.853648935,15.09746008,19.01903228,16.75522887,19.86430212,19.34030523,16.70675645,0,19.28006366,16.26012132,18.77738179,14.63055484,19.59651761,14.77923918,27.2563183,27.2563183
node_10,7.987283362,18.94738547,8.626998523,22.35155496,6.826000257,6.840297936,9.599560999,4.386629305,19.28006366,0,10.53820609,10.72270209,8.848159046,7.07807652,5.314965186,29.41290772,29.41290772
node_11,8.264042572,18.62693973,15.39859598,27.95271994,14.85490762,5.453278466,3.361020274,6.241121953,16.26012132,10.53820609,0,2.520762297,2.537273684,5.045441124,6.491354046,36.07890773,36.07890773
node_12,10.22377203,21.04781066,16.79680559,29.80478565,15.96259868,4.388673065,1.417159109,6.87654144,18.77738179,10.72270209,2.520762297,0,4.588480376,4.006859767,7.774602421,37.79036985,37.79036985
node_13,5.744109179,16.54424459,12.91079629,25.42749221,12.47405418,5.514981884,4.785173784,4.468908819,14.63055484,8.848159046,2.537273684,4.588480376,0,5.176144378,4.170646827,33.54211499,33.54211499
node_14,9.228366006,20.97395684,14.30807425,27.86586894,13.08757414,0.410627543,2.668939365,4.185677673,19.59651761,7.07807652,5.045441124,4.006859767,5.176144378,0,5.877125221,35.51491924,35.51491924
node_15,3.566599852,15.42901001,9.028152789,22.18829747,8.363773106,5.96616989,7.247698774,1.986592562,14.77923918,5.314965186,6.491354046,7.774602421,4.170646827,5.877125221,0,30.05589452,30.05589452
node_16,27.8479925,22.4085489,21.20734065,8.460662055,22.63074434,35.45062516,37.2925648,31.37372284,27.2563183,29.41290772,36.07890773,37.79036985,33.54211499,35.51491924,30.05589452,0,0
node_17,27.8479925,22.4085489,21.20734065,8.460662055,22.63074434,35.45062516,37.2925648,31.37372284,27.2563183,29.41290772,36.07890773,37.79036985,33.54211499,35.51491924,30.05589452,0,0
